title,abstract
"clinical features of culture - proven mycoplasma pneumoniae infections at king abdulaziz university hospital , jeddah , saudi arabia .","objective : this retrospective chart review describes the epidemiology and clinical features of 40 patients with culture - proven mycoplasma pneumoniae infections at king abdulaziz university hospital , jeddah , saudi arabia . methods : patients with positive m. pneumoniae cultures from respiratory specimens from january 1997 through december 1998 were identified through the microbiology records . charts of patients were reviewed . results : 40 patients were identified , 33 ( 82.5 % ) of whom required admission . most infections ( 92.5 % ) were community - acquired . the infection affected all age groups but was most common in infants ( 32.5 % ) and pre-school children ( 22.5 % ) . it occurred year - round but was most common in the fall ( 35 % ) and spring ( 30 % ) . more than three - quarters of patients ( 77.5 % ) had comorbidities . twenty - four isolates ( 60 % ) were associated with pneumonia , 14 ( 35 % ) with upper respiratory tract infections , and 2 ( 5 % ) with bronchiolitis . cough ( 82.5 % ) , fever ( 75 % ) , and malaise ( 58.8 % ) were the most common symptoms , and crepitations ( 60 % ) , and wheezes ( 40 % ) were the most common signs . most patients with pneumonia had crepitations ( 79.2 % ) but only 25 % had bronchial breathing . immunocompromised patients were more likely than non-immunocompromised patients to present with pneumonia ( 8/9 versus 16/31 , p = 0.05 ) . of the 24 patients with pneumonia , 14 ( 58.3 % ) had uneventful recovery , 4 ( 16.7 % ) recovered following some complications , 3 ( 12.5 % ) died because of m pneumoniae infection , and 3 ( 12.5 % ) died due to underlying comorbidities . the 3 patients who died of m pneumoniae pneumonia had other comorbidities . conclusion : our results were similar to published data except for the finding that infections were more common in infants and preschool children and that the mortality rate of pneumonia in patients with comorbidities was high ."
nitric oxide : a pro-inflammatory mediator in lung disease ?,"inflammatory diseases of the respiratory tract are commonly associated with elevated production of nitric oxide ( no • ) and increased indices of no • - dependent oxidative stress . although no • is known to have anti-microbial , anti-inflammatory and anti-oxidant properties , various lines of evidence support the contribution of no • to lung injury in several disease models . on the basis of biochemical evidence , it is often presumed that such no • - dependent oxidations are due to the formation of the oxidant peroxynitrite , although alternative mechanisms involving the phagocyte - derived heme proteins myeloperoxidase and eosinophil peroxidase might be operative during conditions of inflammation . because of the overwhelming literature on no • generation and activities in the respiratory tract , it would be beyond the scope of this commentary to review this area comprehensively . instead , it focuses on recent evidence and concepts of the presumed contribution of no • to inflammatory diseases of the lung ."
surfactant protein - d and pulmonary host defense .,"surfactant protein - d ( sp - d ) participates in the innate response to inhaled microorganisms and organic antigens , and contributes to immune and inflammatory regulation within the lung . sp - d is synthesized and secreted by alveolar and bronchiolar epithelial cells , but is also expressed by epithelial cells lining various exocrine ducts and the mucosa of the gastrointestinal and genitourinary tracts . sp - d , a collagenous calcium - dependent lectin ( or collectin ) , binds to surface glycoconjugates expressed by a wide variety of microorganisms , and to oligosaccharides associated with the surface of various complex organic antigens . sp - d also specifically interacts with glycoconjugates and other molecules expressed on the surface of macrophages , neutrophils , and lymphocytes . in addition , sp - d binds to specific surfactant - associated lipids and can influence the organization of lipid mixtures containing phosphatidylinositol in vitro . consistent with these diverse in vitro activities is the observation that sp - d - deficient transgenic mice show abnormal accumulations of surfactant lipids , and respond abnormally to challenge with respiratory viruses and bacterial lipopolysaccharides . the phenotype of macrophages isolated from the lungs of sp - d - deficient mice is altered , and there is circumstantial evidence that abnormal oxidant metabolism and / or increased metalloproteinase expression contributes to the development of emphysema . the expression of sp - d is increased in response to many forms of lung injury , and deficient accumulation of appropriately oligomerized sp - d might contribute to the pathogenesis of a variety of human lung diseases ."
role of endothelin - 1 in lung disease .,"endothelin - 1 ( et - 1 ) is a 21 amino acid peptide with diverse biological activity that has been implicated in numerous diseases . et - 1 is a potent mitogen regulator of smooth muscle tone , and inflammatory mediator that may play a key role in diseases of the airways , pulmonary circulation , and inflammatory lung diseases , both acute and chronic . this review will focus on the biology of et - 1 and its role in lung disease ."
gene expression in epithelial cells in response to pneumovirus infection .,"respiratory syncytial virus ( rsv ) and pneumonia virus of mice ( pvm ) are viruses of the family paramyxoviridae , subfamily pneumovirus , which cause clinically important respiratory infections in humans and rodents , respectively . the respiratory epithelial target cells respond to viral infection with specific alterations in gene expression , including production of chemoattractant cytokines , adhesion molecules , elements that are related to the apoptosis response , and others that remain incompletely understood . here we review our current understanding of these mucosal responses and discuss several genomic approaches , including differential display reverse transcription - polymerase chain reaction ( pcr ) and gene array strategies , that will permit us to unravel the nature of these responses in a more complete and systematic manner ."
sequence requirements for rna strand transfer during nidovirus discontinuous subgenomic rna synthesis .,"nidovirus subgenomic mrnas contain a leader sequence derived from the 5 ′ end of the genome fused to different sequences ( ‘ bodies ’ ) derived from the 3 ′ end . their generation involves a unique mechanism of discontinuous subgenomic rna synthesis that resembles copy - choice rna recombination . during this process , the nascent rna strand is transferred from one site in the template to another , during either plus or minus strand synthesis , to yield subgenomic rna molecules . central to this process are transcription - regulating sequences ( trss ) , which are present at both template sites and ensure the fidelity of strand transfer . here we present results of a comprehensive co-variation mutagenesis study of equine arteritis virus trss , demonstrating that discontinuous rna synthesis depends not only on base pairing between sense leader trs and antisense body trs , but also on the primary sequence of the body trs . while the leader trs merely plays a targeting role for strand transfer , the body trs fulfils multiple functions . the sequences of mrna leader – body junctions of trs mutants strongly suggested that the discontinuous step occurs during minus strand synthesis ."
debate : transfusing to normal haemoglobin levels will not improve outcome .,"recent evidence suggests that critically ill patients are able to tolerate lower levels of haemoglobin than was previously believed . it is our goal to show that transfusing to a level of 100 g / l does not improve mortality and other clinically important outcomes in a critical care setting . although many questions remain , many laboratory and clinical studies , including a recent randomized controlled trial ( rct ) , have established that transfusing to normal haemoglobin concentrations does not improve organ failure and mortality in the critically ill patient . in addition , a restrictive transfusion strategy will reduce exposure to allogeneic transfusions , result in more efficient use of red blood cells ( rbcs ) , save blood overall , and decrease health care costs ."
"the 21st international symposium on intensive care and emergency medicine , brussels , belgium , 20 - 23 march 2001 .","the 21st international symposium on intensive care and emergency medicine was dominated by the results of recent clinical trials in sepsis and acute respiratory distress syndrome ( ards ) . the promise of extracorporeal liver replacement therapy and noninvasive ventilation were other areas of interest . ethical issues also received attention . overall , the ' state of the art ' lectures , pro / con debates , seminars and tutorials were of a high standard . the meeting was marked by a sense of renewed enthusiasm that positive progress is occurring in intensive care medicine ."
heme oxygenase - 1 and carbon monoxide in pulmonary medicine .,"heme oxygenase - 1 ( ho - 1 ) , an inducible stress protein , confers cytoprotection against oxidative stress in vitro and in vivo . in addition to its physiological role in heme degradation , ho - 1 may influence a number of cellular processes , including growth , inflammation , and apoptosis . by virtue of anti-inflammatory effects , ho - 1 limits tissue damage in response to proinflammatory stimuli and prevents allograft rejection after transplantation . the transcriptional upregulation of ho - 1 responds to many agents , such as hypoxia , bacterial lipopolysaccharide , and reactive oxygen / nitrogen species . ho - 1 and its constitutively expressed isozyme , heme oxygenase - 2 , catalyze the rate - limiting step in the conversion of heme to its metabolites , bilirubin ixα , ferrous iron , and carbon monoxide ( co ) . the mechanisms by which ho - 1 provides protection most likely involve its enzymatic reaction products . remarkably , administration of co at low concentrations can substitute for ho - 1 with respect to anti-inflammatory and anti-apoptotic effects , suggesting a role for co as a key mediator of ho - 1 function . chronic , low - level , exogenous exposure to co from cigarette smoking contributes to the importance of co in pulmonary medicine . the implications of the ho - 1 / co system in pulmonary diseases will be discussed in this review , with an emphasis on inflammatory states ."
technical description of rods : a real - time public health surveillance system .,"this report describes the design and implementation of the real - time outbreak and disease surveillance ( rods ) system , a computer - based public health surveillance system for early detection of disease outbreaks . hospitals send rods data from clinical encounters over virtual private networks and leased lines using the health level 7 ( hl7 ) message protocol . the data are sent in real time . rods automatically classifies the registration chief complaint from the visit into one of seven syndrome categories using bayesian classifiers . it stores the data in a relational database , aggregates the data for analysis using data warehousing techniques , applies univariate and multivariate statistical detection algorithms to the data , and alerts users of when the algorithms identify anomalous patterns in the syndrome counts . rods also has a web - based user interface that supports temporal and spatial analyses . rods processes sales of over-the-counter health care products in a similar manner but receives such data in batch mode on a daily basis . rods was used during the 2002 winter olympics and currently operates in two states — pennsylvania and utah . it has been and continues to be a resource for implementing , evaluating , and applying new methods of public health surveillance ."
